"","filename","sti","ai","pi","si","likelihood"
"70","toy_example_3.RDa",1,2,1,4,-2117.8690301585
"71","toy_example_3.RDa",1,2,1,5,-2119.45564600063
"72","toy_example_3.RDa",1,2,1,6,-2119.23254395785
"73","toy_example_3.RDa",1,2,1,7,-2119.08317346932
"74","toy_example_3.RDa",1,2,1,8,-2118.61841390113
"75","toy_example_3.RDa",1,2,1,9,-2119.20587904306
"76","toy_example_3.RDa",1,2,1,10,-2121.15584118411
"77","toy_example_3.RDa",1,2,1,11,-2120.21371635019
"78","toy_example_3.RDa",1,2,2,1,-3812.05774224755
"79","toy_example_3.RDa",1,2,2,2,-2148.67087226178
"80","toy_example_3.RDa",1,2,2,3,-2147.68921501582
"81","toy_example_3.RDa",1,2,2,4,-2148.92789129531
"82","toy_example_3.RDa",1,2,2,5,-2147.97021906137
"83","toy_example_3.RDa",1,2,2,6,-2149.08393797882
"84","toy_example_3.RDa",1,2,2,7,-2147.49819304563
"85","toy_example_3.RDa",1,2,2,8,-2147.46718790793
"86","toy_example_3.RDa",1,2,2,9,-2149.03014533263
"87","toy_example_3.RDa",1,2,2,10,-2148.54553101858
"88","toy_example_3.RDa",1,2,2,11,-2150.95898748151
"89","toy_example_3.RDa",2,1,1,1,-4785.42860031956
"90","toy_example_3.RDa",2,1,1,2,-2079.99261979207
"91","toy_example_3.RDa",2,1,1,3,-2080.38276188355
"92","toy_example_3.RDa",2,1,1,4,-2081.15225489573
"93","toy_example_3.RDa",2,1,1,5,-2079.15876865577
"94","toy_example_3.RDa",2,1,1,6,-2078.09110148605
"95","toy_example_3.RDa",2,1,1,7,-2078.82283617771
"96","toy_example_3.RDa",2,1,1,8,-2080.16695633023
"97","toy_example_3.RDa",2,1,1,9,-2079.68731069349
"98","toy_example_3.RDa",2,1,1,10,-2080.01473592855
"99","toy_example_3.RDa",2,1,1,11,-2078.23713406596
"100","toy_example_3.RDa",2,1,2,1,-3698.79021192181
"101","toy_example_3.RDa",2,1,2,2,-2203.74603730534
"102","toy_example_3.RDa",2,1,2,3,-2202.59214130591
"103","toy_example_3.RDa",2,1,2,4,-2203.22540463112
"104","toy_example_3.RDa",2,1,2,5,-2204.40129258576
"105","toy_example_3.RDa",2,1,2,6,-2202.92457706655
"106","toy_example_3.RDa",2,1,2,7,-2203.27439518894
"107","toy_example_3.RDa",2,1,2,8,-2205.08092307438
"108","toy_example_3.RDa",2,1,2,9,-2205.85027958097
"109","toy_example_3.RDa",2,1,2,10,-2202.39401358407
"110","toy_example_3.RDa",2,1,2,11,-2206.03289765436
"111","toy_example_3.RDa",2,2,1,1,-3332.563756496
"112","toy_example_3.RDa",2,2,1,2,-2120.86031125675
"113","toy_example_3.RDa",2,2,1,3,-2117.85184626798
"114","toy_example_3.RDa",2,2,1,4,-2118.01989724342
"115","toy_example_3.RDa",2,2,1,5,-2120.57179002317
"116","toy_example_3.RDa",2,2,1,6,-2119.72587935936
"117","toy_example_3.RDa",2,2,1,7,-2117.94353955985
"118","toy_example_3.RDa",2,2,1,8,-2120.45434633566
"119","toy_example_3.RDa",2,2,1,9,-2117.58486225431
"120","toy_example_3.RDa",2,2,1,10,-2117.57902000855
"121","toy_example_3.RDa",2,2,1,11,-2120.51885225606
"122","toy_example_3.RDa",2,2,2,1,-5057.22278500521
"123","toy_example_3.RDa",2,2,2,2,-2146.72319953042
"124","toy_example_3.RDa",2,2,2,3,-2146.64784615188
"125","toy_example_3.RDa",2,2,2,4,-2147.21001994409
"126","toy_example_3.RDa",2,2,2,5,-2148.61534981376
"127","toy_example_3.RDa",2,2,2,6,-2148.342844164
"128","toy_example_3.RDa",2,2,2,7,-2147.82783891422
"129","toy_example_3.RDa",2,2,2,8,-2148.88063311127
"130","toy_example_3.RDa",2,2,2,9,-2149.14980130769
"131","toy_example_3.RDa",2,2,2,10,-2146.32205531258
"132","toy_example_3.RDa",2,2,2,11,-2151.38493744484
"133","toy_example_4.RDa",1,1,1,1,-4658.87659256903
"134","toy_example_4.RDa",1,1,1,2,-2552.81353055698
"135","toy_example_4.RDa",1,1,1,3,-2555.47586207518
"136","toy_example_4.RDa",1,1,1,4,-2552.56276394638
"137","toy_example_4.RDa",1,1,1,5,-2553.00312138263
"138","toy_example_4.RDa",1,1,1,6,-2551.36105823712
"139","toy_example_4.RDa",1,1,1,7,-2552.65305408022
"140","toy_example_4.RDa",1,1,1,8,-2551.18108657547
"141","toy_example_4.RDa",1,1,1,9,-2550.75821171876
"142","toy_example_4.RDa",1,1,1,10,-2549.5500722764
"143","toy_example_4.RDa",1,1,1,11,-2552.92928048525
"144","toy_example_4.RDa",1,1,2,1,-4973.79727548831
"145","toy_example_4.RDa",1,1,2,2,-2541.32688587293
"146","toy_example_4.RDa",1,1,2,3,-2541.53798300778
"147","toy_example_4.RDa",1,1,2,4,-2542.5143328449
"148","toy_example_4.RDa",1,1,2,5,-2540.89506775628
"149","toy_example_4.RDa",1,1,2,6,-2541.71923501273
"150","toy_example_4.RDa",1,1,2,7,-2541.33688067655
"151","toy_example_4.RDa",1,1,2,8,-2541.97679207316
"152","toy_example_4.RDa",1,1,2,9,-2540.71543796605
"153","toy_example_4.RDa",1,1,2,10,-2542.63760846354
"154","toy_example_4.RDa",1,1,2,11,-2541.18640492053
"155","toy_example_4.RDa",1,2,1,1,-4246.69303992793
"156","toy_example_4.RDa",1,2,1,2,-2465.04771155232
"157","toy_example_4.RDa",1,2,1,3,-2463.77608175906
"158","toy_example_4.RDa",1,2,1,4,-2464.09719023715
"159","toy_example_4.RDa",1,2,1,5,-2463.30710053703
"160","toy_example_4.RDa",1,2,1,6,-2463.25334391769
"161","toy_example_4.RDa",1,2,1,7,-2463.03056974332
"162","toy_example_4.RDa",1,2,1,8,-2463.78996232314
"163","toy_example_4.RDa",1,2,1,9,-2462.6518567037
"164","toy_example_4.RDa",1,2,1,10,-2463.61551419034
"165","toy_example_4.RDa",1,2,1,11,-2463.24448143262
"166","toy_example_4.RDa",1,2,2,1,-5001.13510603811
"167","toy_example_4.RDa",1,2,2,2,-2564.14875345457
"168","toy_example_4.RDa",1,2,2,3,-2566.32833065947
"169","toy_example_4.RDa",1,2,2,4,-2565.28858571633
"170","toy_example_4.RDa",1,2,2,5,-2563.52362990942
"171","toy_example_4.RDa",1,2,2,6,-2567.19850718677
"172","toy_example_4.RDa",1,2,2,7,-2564.56685615431
"173","toy_example_4.RDa",1,2,2,8,-2565.82727542832
"174","toy_example_4.RDa",1,2,2,9,-2564.67402171016
"175","toy_example_4.RDa",1,2,2,10,-2564.93589506953
"176","toy_example_4.RDa",1,2,2,11,-2563.5561499726
"177","toy_example_4.RDa",2,1,1,1,-3585.50497335867
"178","toy_example_4.RDa",2,1,1,2,-2550.30918049768
"179","toy_example_4.RDa",2,1,1,3,-2553.54177423969
"180","toy_example_4.RDa",2,1,1,4,-2553.5921193692
"181","toy_example_4.RDa",2,1,1,5,-2550.90036793749
"182","toy_example_4.RDa",2,1,1,6,-2551.25299551372
"183","toy_example_4.RDa",2,1,1,7,-2553.80352615786
"184","toy_example_4.RDa",2,1,1,8,-2549.81614847426
"185","toy_example_4.RDa",2,1,1,9,-2551.19229712099
"186","toy_example_4.RDa",2,1,1,10,-2551.39087823473
"187","toy_example_4.RDa",2,1,1,11,-2551.52062249563
"188","toy_example_4.RDa",2,1,2,1,-3500.40150495287
"189","toy_example_4.RDa",2,1,2,2,-2542.83481805686
"190","toy_example_4.RDa",2,1,2,3,-2541.51726681278
"191","toy_example_4.RDa",2,1,2,4,-2541.79076531874
"192","toy_example_4.RDa",2,1,2,5,-2541.18844858958
"193","toy_example_4.RDa",2,1,2,6,-2541.95197355535
"194","toy_example_4.RDa",2,1,2,7,-2540.97361841716
"195","toy_example_4.RDa",2,1,2,8,-2542.1366230079
"196","toy_example_4.RDa",2,1,2,9,-2543.47935428218
"197","toy_example_4.RDa",2,1,2,10,-2540.68163747558
"198","toy_example_4.RDa",2,1,2,11,-2542.8556047405
"199","toy_example_4.RDa",2,2,1,1,-5124.85130385722
"200","toy_example_4.RDa",2,2,1,2,-2463.31984385751
"201","toy_example_4.RDa",2,2,1,3,-2463.04977837287
"202","toy_example_4.RDa",2,2,1,4,-2463.4995305288
"203","toy_example_4.RDa",2,2,1,5,-2465.153167403
"204","toy_example_4.RDa",2,2,1,6,-2464.2858481569
"205","toy_example_4.RDa",2,2,1,7,-2462.86900504217
"206","toy_example_4.RDa",2,2,1,8,-2464.76002508445
"207","toy_example_4.RDa",2,2,1,9,-2464.55312138612
"208","toy_example_4.RDa",2,2,1,10,-2463.48031981163
"209","toy_example_4.RDa",2,2,1,11,-2462.86615974162
"210","toy_example_4.RDa",2,2,2,1,-4651.98823565352
"211","toy_example_4.RDa",2,2,2,2,-2566.82057322247
"212","toy_example_4.RDa",2,2,2,3,-2563.9751086606
"213","toy_example_4.RDa",2,2,2,4,-2564.25907360883
"214","toy_example_4.RDa",2,2,2,5,-2565.04336399743
"215","toy_example_4.RDa",2,2,2,6,-2567.00628511667
"216","toy_example_4.RDa",2,2,2,7,-2565.98790109096
"217","toy_example_4.RDa",2,2,2,8,-2566.14352144553
"218","toy_example_4.RDa",2,2,2,9,-2563.83870611422
"219","toy_example_4.RDa",2,2,2,10,-2568.65294622089
"220","toy_example_4.RDa",2,2,2,11,-2568.75897851446
