"","filename","sti","ai","pi","si","likelihood"
"1","toy_example_1.RDa",1,1,1,1,-10429.8511233326
"2","toy_example_1.RDa",1,1,1,2,-4105.54944020128
"3","toy_example_1.RDa",1,1,1,3,-3586.27946905229
"4","toy_example_1.RDa",1,1,1,4,-3582.08664666151
"5","toy_example_1.RDa",1,1,1,5,-3588.33636068414
"6","toy_example_1.RDa",1,1,1,6,-3582.49457476167
"7","toy_example_1.RDa",1,1,1,7,-3583.71560168068
"8","toy_example_1.RDa",1,1,1,8,-3583.95711378479
"9","toy_example_1.RDa",1,1,1,9,-3579.37300270145
"10","toy_example_1.RDa",1,1,1,10,-3581.71441170097
"11","toy_example_1.RDa",1,1,1,11,-3580.35535918958
"12","toy_example_1.RDa",2,1,1,1,-10917.7767921963
"13","toy_example_1.RDa",2,1,1,2,-4059.12313284714
"14","toy_example_1.RDa",2,1,1,3,-3281.60473710298
"15","toy_example_1.RDa",2,1,1,4,-3288.0217853671
"16","toy_example_1.RDa",2,1,1,5,-3279.14796131237
"17","toy_example_1.RDa",2,1,1,6,-3288.65902493186
"18","toy_example_1.RDa",2,1,1,7,-3287.14323294171
"19","toy_example_1.RDa",2,1,1,8,-3281.77814799664
"20","toy_example_1.RDa",2,1,1,9,-3282.12251678027
"21","toy_example_1.RDa",2,1,1,10,-3282.76444643958
"22","toy_example_1.RDa",2,1,1,11,-3283.81063105121
"23","toy_example_2.RDa",1,1,1,1,-3605.63354222706
"24","toy_example_2.RDa",1,1,1,2,-2124.19177939455
"25","toy_example_2.RDa",1,1,1,3,-2123.23810384174
"26","toy_example_2.RDa",1,1,1,4,-2121.93304364534
"27","toy_example_2.RDa",1,1,1,5,-2121.8198914819
"28","toy_example_2.RDa",1,1,1,6,-2121.68820242314
"29","toy_example_2.RDa",1,1,1,7,-2126.07138000597
"30","toy_example_2.RDa",1,1,1,8,-2121.30598549128
"31","toy_example_2.RDa",1,1,1,9,-2121.45357642749
"32","toy_example_2.RDa",1,1,1,10,-2121.50947566052
"33","toy_example_2.RDa",1,1,1,11,-2122.05122039935
"34","toy_example_2.RDa",2,1,1,1,-3929.53224773183
"35","toy_example_2.RDa",2,1,1,2,-2175.32864833436
"36","toy_example_2.RDa",2,1,1,3,-2175.64931340113
"37","toy_example_2.RDa",2,1,1,4,-2175.33181432131
"38","toy_example_2.RDa",2,1,1,5,-2175.83860293499
"39","toy_example_2.RDa",2,1,1,6,-2175.9944438316
"40","toy_example_2.RDa",2,1,1,7,-2175.77310428355
"41","toy_example_2.RDa",2,1,1,8,-2175.09605541495
"42","toy_example_2.RDa",2,1,1,9,-2180.08489249681
"43","toy_example_2.RDa",2,1,1,10,-2177.21832748414
"44","toy_example_2.RDa",2,1,1,11,-2176.1117375024
"45","toy_example_3.RDa",1,1,1,1,-3017.12657211924
"46","toy_example_3.RDa",1,1,1,2,-2081.40413215709
"47","toy_example_3.RDa",1,1,1,3,-2084.72493735683
"48","toy_example_3.RDa",1,1,1,4,-2080.03145117845
"49","toy_example_3.RDa",1,1,1,5,-2081.19779581552
"50","toy_example_3.RDa",1,1,1,6,-2078.46614361619
"51","toy_example_3.RDa",1,1,1,7,-2081.02638062472
"52","toy_example_3.RDa",1,1,1,8,-2079.29750728525
"53","toy_example_3.RDa",1,1,1,9,-2079.82947830411
"54","toy_example_3.RDa",1,1,1,10,-2084.13301398411
"55","toy_example_3.RDa",1,1,1,11,-2079.02962218294
"56","toy_example_3.RDa",1,1,2,1,-4745.25036428828
"57","toy_example_3.RDa",1,1,2,2,-2204.88158085993
"58","toy_example_3.RDa",1,1,2,3,-2204.58705194094
"59","toy_example_3.RDa",1,1,2,4,-2201.85630854656
"60","toy_example_3.RDa",1,1,2,5,-2204.19647558803
"61","toy_example_3.RDa",1,1,2,6,-2201.8269750748
"62","toy_example_3.RDa",1,1,2,7,-2202.35703003926
"63","toy_example_3.RDa",1,1,2,8,-2203.37846282089
"64","toy_example_3.RDa",1,1,2,9,-2202.94013679757
"65","toy_example_3.RDa",1,1,2,10,-2204.41359156014
"66","toy_example_3.RDa",1,1,2,11,-2202.91309579074
"67","toy_example_3.RDa",1,2,1,1,-4885.61370993064
"68","toy_example_3.RDa",1,2,1,2,-2121.35008714762
"69","toy_example_3.RDa",1,2,1,3,-2118.56902319093
