"","filename","sti","ai","pi","si","crown_age"
"1","toy_example_1.RDa",1,1,1,1,1.79431083265303
"2","toy_example_1.RDa",1,1,1,2,0.0672876853843848
"3","toy_example_1.RDa",1,1,1,3,0.061150298385823
"4","toy_example_1.RDa",1,1,1,4,0.0522226847543029
"5","toy_example_1.RDa",1,1,1,5,0.0515865391921172
"6","toy_example_1.RDa",1,1,1,6,0.0554756594928602
"7","toy_example_1.RDa",1,1,1,7,0.0536147145113385
"8","toy_example_1.RDa",1,1,1,8,0.0494357213542475
"9","toy_example_1.RDa",1,1,1,9,0.055653223841956
"10","toy_example_1.RDa",1,1,1,10,0.0572919772951683
"11","toy_example_1.RDa",1,1,1,11,0.0579288202223348
"12","toy_example_1.RDa",2,1,1,1,1.94576704257436
"13","toy_example_1.RDa",2,1,1,2,0.0488348593197633
"14","toy_example_1.RDa",2,1,1,3,0.0486809173854665
"15","toy_example_1.RDa",2,1,1,4,0.0478156613598718
"16","toy_example_1.RDa",2,1,1,5,0.0461387870690499
"17","toy_example_1.RDa",2,1,1,6,0.0479058223084411
"18","toy_example_1.RDa",2,1,1,7,0.0483709372304012
"19","toy_example_1.RDa",2,1,1,8,0.0438755466841728
"20","toy_example_1.RDa",2,1,1,9,0.0393685930689144
"21","toy_example_1.RDa",2,1,1,10,0.0418428111196449
"22","toy_example_1.RDa",2,1,1,11,0.044246389149876
"23","toy_example_2.RDa",1,1,1,1,1.49944473339915
"24","toy_example_2.RDa",1,1,1,2,0.0471649599317423
"25","toy_example_2.RDa",1,1,1,3,0.046888913916553
"26","toy_example_2.RDa",1,1,1,4,0.0384192202874808
"27","toy_example_2.RDa",1,1,1,5,0.0376882832025228
"28","toy_example_2.RDa",1,1,1,6,0.0389690227083569
"29","toy_example_2.RDa",1,1,1,7,0.0312344338087948
"30","toy_example_2.RDa",1,1,1,8,0.0377908768821765
"31","toy_example_2.RDa",1,1,1,9,0.0374149935264283
"32","toy_example_2.RDa",1,1,1,10,0.0369409987703251
"33","toy_example_2.RDa",1,1,1,11,0.0375827914190428
"34","toy_example_2.RDa",2,1,1,1,1.34352425847658
"35","toy_example_2.RDa",2,1,1,2,0.0421647364409754
"36","toy_example_2.RDa",2,1,1,3,0.0403694965415055
"37","toy_example_2.RDa",2,1,1,4,0.043404249312829
"38","toy_example_2.RDa",2,1,1,5,0.0391534546971733
"39","toy_example_2.RDa",2,1,1,6,0.0422844766403947
"40","toy_example_2.RDa",2,1,1,7,0.0393764070466576
"41","toy_example_2.RDa",2,1,1,8,0.0436693210036349
"42","toy_example_2.RDa",2,1,1,9,0.0346209704991797
"43","toy_example_2.RDa",2,1,1,10,0.0424211114188901
"44","toy_example_2.RDa",2,1,1,11,0.0442143033568787
"45","toy_example_3.RDa",1,1,1,1,0.414217350724139
"46","toy_example_3.RDa",1,1,1,2,0.0451670654234056
"47","toy_example_3.RDa",1,1,1,3,0.0501515992367261
"48","toy_example_3.RDa",1,1,1,4,0.0386150364098272
"49","toy_example_3.RDa",1,1,1,5,0.0407953919959826
"50","toy_example_3.RDa",1,1,1,6,0.0452215614938269
"51","toy_example_3.RDa",1,1,1,7,0.0436801734090225
"52","toy_example_3.RDa",1,1,1,8,0.0458832833848105
"53","toy_example_3.RDa",1,1,1,9,0.0419738429446981
"54","toy_example_3.RDa",1,1,1,10,0.0572942269887427
"55","toy_example_3.RDa",1,1,1,11,0.0412873796583391
"56","toy_example_3.RDa",1,1,2,1,1.41234084205354
"57","toy_example_3.RDa",1,1,2,2,0.0585810066803061
"58","toy_example_3.RDa",1,1,2,3,0.0525468857650022
"59","toy_example_3.RDa",1,1,2,4,0.0515236301011774
"60","toy_example_3.RDa",1,1,2,5,0.0564949216956226
"61","toy_example_3.RDa",1,1,2,6,0.0561361046236082
"62","toy_example_3.RDa",1,1,2,7,0.0521269749729767
"63","toy_example_3.RDa",1,1,2,8,0.0492348431675617
"64","toy_example_3.RDa",1,1,2,9,0.05249730531832
"65","toy_example_3.RDa",1,1,2,10,0.0527064749996567
"66","toy_example_3.RDa",1,1,2,11,0.0535949333200368
"67","toy_example_3.RDa",1,2,1,1,3.19062664647881
"68","toy_example_3.RDa",1,2,1,2,0.0649521277044344
"69","toy_example_3.RDa",1,2,1,3,0.0569877470728499
"70","toy_example_3.RDa",1,2,1,4,0.0589722662661829
"71","toy_example_3.RDa",1,2,1,5,0.0608574489936417
"72","toy_example_3.RDa",1,2,1,6,0.0494017500562866
"73","toy_example_3.RDa",1,2,1,7,0.0586321307203148
"74","toy_example_3.RDa",1,2,1,8,0.0466418571682816
"75","toy_example_3.RDa",1,2,1,9,0.0588451043430933
"76","toy_example_3.RDa",1,2,1,10,0.0629046837042256
"77","toy_example_3.RDa",1,2,1,11,0.0615577270922388
"78","toy_example_3.RDa",1,2,2,1,2.69330495448541
"79","toy_example_3.RDa",1,2,2,2,0.0509626770311142
"80","toy_example_3.RDa",1,2,2,3,0.0480445040732241
"81","toy_example_3.RDa",1,2,2,4,0.0470306733732112
"82","toy_example_3.RDa",1,2,2,5,0.0492209769578448
"83","toy_example_3.RDa",1,2,2,6,0.0486060592564985
"84","toy_example_3.RDa",1,2,2,7,0.0540432956251948
"85","toy_example_3.RDa",1,2,2,8,0.0586302803570273
"86","toy_example_3.RDa",1,2,2,9,0.0439182694488021
"87","toy_example_3.RDa",1,2,2,10,0.0518732798964756
"88","toy_example_3.RDa",1,2,2,11,0.0638396889346896
"89","toy_example_3.RDa",2,1,1,1,1.31629423577871
"90","toy_example_3.RDa",2,1,1,2,0.0468173896906665
"91","toy_example_3.RDa",2,1,1,3,0.0445741376885495
"92","toy_example_3.RDa",2,1,1,4,0.0390689360972876
"93","toy_example_3.RDa",2,1,1,5,0.0470854660680692
"94","toy_example_3.RDa",2,1,1,6,0.044235414319142
"95","toy_example_3.RDa",2,1,1,7,0.0391428066186344
"96","toy_example_3.RDa",2,1,1,8,0.0393028540127131
"97","toy_example_3.RDa",2,1,1,9,0.0376469697810151
"98","toy_example_3.RDa",2,1,1,10,0.040369739669156
"99","toy_example_3.RDa",2,1,1,11,0.0431654493357689
"100","toy_example_3.RDa",2,1,2,1,1.01362879290853
"101","toy_example_3.RDa",2,1,2,2,0.059922594799672
"102","toy_example_3.RDa",2,1,2,3,0.0489405824621954
"103","toy_example_3.RDa",2,1,2,4,0.0470414184552007
"104","toy_example_3.RDa",2,1,2,5,0.0623833357993632
"105","toy_example_3.RDa",2,1,2,6,0.0542491400604342
"106","toy_example_3.RDa",2,1,2,7,0.0569897418370489
"107","toy_example_3.RDa",2,1,2,8,0.0560560439176939
"108","toy_example_3.RDa",2,1,2,9,0.0501822645324568
"109","toy_example_3.RDa",2,1,2,10,0.0557676129360428
"110","toy_example_3.RDa",2,1,2,11,0.0548728735809196
"111","toy_example_3.RDa",2,2,1,1,0.7724387550253
"112","toy_example_3.RDa",2,2,1,2,0.0655409012333168
"113","toy_example_3.RDa",2,2,1,3,0.052016750959228
"114","toy_example_3.RDa",2,2,1,4,0.0548987838799938
"115","toy_example_3.RDa",2,2,1,5,0.0637533414521147
"116","toy_example_3.RDa",2,2,1,6,0.0495535699833066
"117","toy_example_3.RDa",2,2,1,7,0.0518135658971504
"118","toy_example_3.RDa",2,2,1,8,0.0643298876613761
"119","toy_example_3.RDa",2,2,1,9,0.0585631593428535
"120","toy_example_3.RDa",2,2,1,10,0.0550251436109298
"121","toy_example_3.RDa",2,2,1,11,0.0510421807161375
"122","toy_example_3.RDa",2,2,2,1,1.60940698264918
"123","toy_example_3.RDa",2,2,2,2,0.0522274411762692
"124","toy_example_3.RDa",2,2,2,3,0.05144659470028
"125","toy_example_3.RDa",2,2,2,4,0.0531801487548244
"126","toy_example_3.RDa",2,2,2,5,0.0497562363865836
"127","toy_example_3.RDa",2,2,2,6,0.0566076742267258
"128","toy_example_3.RDa",2,2,2,7,0.0540933878791454
"129","toy_example_3.RDa",2,2,2,8,0.0434998006605205
"130","toy_example_3.RDa",2,2,2,9,0.0540787812300515
"131","toy_example_3.RDa",2,2,2,10,0.0520293595089545
"132","toy_example_3.RDa",2,2,2,11,0.049346906912659
"133","toy_example_4.RDa",1,1,1,1,1.41234084205354
"134","toy_example_4.RDa",1,1,1,2,0.0548761912254402
"135","toy_example_4.RDa",1,1,1,3,0.0518169506989015
"136","toy_example_4.RDa",1,1,1,4,0.0537336934349868
"137","toy_example_4.RDa",1,1,1,5,0.0535071984627098
"138","toy_example_4.RDa",1,1,1,6,0.0516135476093348
"139","toy_example_4.RDa",1,1,1,7,0.0507309514500551
"140","toy_example_4.RDa",1,1,1,8,0.0539367269509041
"141","toy_example_4.RDa",1,1,1,9,0.0573238361217584
"142","toy_example_4.RDa",1,1,1,10,0.0564518881193067
"143","toy_example_4.RDa",1,1,1,11,0.0545572544696591
"144","toy_example_4.RDa",1,1,2,1,3.19062664647881
"145","toy_example_4.RDa",1,1,2,2,0.0618169733614977
"146","toy_example_4.RDa",1,1,2,3,0.0589896251692725
"147","toy_example_4.RDa",1,1,2,4,0.0686363821317561
"148","toy_example_4.RDa",1,1,2,5,0.0545061214299393
"149","toy_example_4.RDa",1,1,2,6,0.0524722715980878
"150","toy_example_4.RDa",1,1,2,7,0.0587864011202952
"151","toy_example_4.RDa",1,1,2,8,0.0548323625611047
"152","toy_example_4.RDa",1,1,2,9,0.0539663173602108
"153","toy_example_4.RDa",1,1,2,10,0.0511065481098571
"154","toy_example_4.RDa",1,1,2,11,0.0570614946231968
"155","toy_example_4.RDa",1,2,1,1,2.69330495448541
"156","toy_example_4.RDa",1,2,1,2,0.0484985812736651
"157","toy_example_4.RDa",1,2,1,3,0.0547097221936655
"158","toy_example_4.RDa",1,2,1,4,0.0472991695096417
"159","toy_example_4.RDa",1,2,1,5,0.0516409331320945
"160","toy_example_4.RDa",1,2,1,6,0.0486381596876087
"161","toy_example_4.RDa",1,2,1,7,0.0497502480277163
"162","toy_example_4.RDa",1,2,1,8,0.0503404744411516
"163","toy_example_4.RDa",1,2,1,9,0.0440492449565336
"164","toy_example_4.RDa",1,2,1,10,0.0447488944476706
"165","toy_example_4.RDa",1,2,1,11,0.0517340356859386
"166","toy_example_4.RDa",1,2,2,1,1.31629423577871
"167","toy_example_4.RDa",1,2,2,2,0.0545629312774697
"168","toy_example_4.RDa",1,2,2,3,0.0491783354174626
"169","toy_example_4.RDa",1,2,2,4,0.0503735688417937
"170","toy_example_4.RDa",1,2,2,5,0.0536168907273499
"171","toy_example_4.RDa",1,2,2,6,0.0633944620439219
"172","toy_example_4.RDa",1,2,2,7,0.0500497594441863
"173","toy_example_4.RDa",1,2,2,8,0.0499324148597842
"174","toy_example_4.RDa",1,2,2,9,0.0520398985286516
"175","toy_example_4.RDa",1,2,2,10,0.0503274630553439
"176","toy_example_4.RDa",1,2,2,11,0.0515061169675221
"177","toy_example_4.RDa",2,1,1,1,1.01362879290853
"178","toy_example_4.RDa",2,1,1,2,0.0524330332805873
"179","toy_example_4.RDa",2,1,1,3,0.0461895491370296
"180","toy_example_4.RDa",2,1,1,4,0.0595192887068049
"181","toy_example_4.RDa",2,1,1,5,0.0532791629643213
"182","toy_example_4.RDa",2,1,1,6,0.0579604314762951
"183","toy_example_4.RDa",2,1,1,7,0.0570694787696388
"184","toy_example_4.RDa",2,1,1,8,0.0583626577010382
"185","toy_example_4.RDa",2,1,1,9,0.0568082426401406
"186","toy_example_4.RDa",2,1,1,10,0.0479278122631219
"187","toy_example_4.RDa",2,1,1,11,0.0594819704156413
"188","toy_example_4.RDa",2,1,2,1,0.7724387550253
"189","toy_example_4.RDa",2,1,2,2,0.067836465273759
"190","toy_example_4.RDa",2,1,2,3,0.0518318691345253
"191","toy_example_4.RDa",2,1,2,4,0.0641046243309366
"192","toy_example_4.RDa",2,1,2,5,0.0603467956712821
"193","toy_example_4.RDa",2,1,2,6,0.0574211852857246
"194","toy_example_4.RDa",2,1,2,7,0.0645627813293293
"195","toy_example_4.RDa",2,1,2,8,0.0518861478790784
"196","toy_example_4.RDa",2,1,2,9,0.046606280757891
"197","toy_example_4.RDa",2,1,2,10,0.0580578617614122
"198","toy_example_4.RDa",2,1,2,11,0.0691368909656038
"199","toy_example_4.RDa",2,2,1,1,1.60940698264918
"200","toy_example_4.RDa",2,2,1,2,0.0486090875507897
"201","toy_example_4.RDa",2,2,1,3,0.0473040184300388
"202","toy_example_4.RDa",2,2,1,4,0.0541740351258271
"203","toy_example_4.RDa",2,2,1,5,0.0506829851077364
"204","toy_example_4.RDa",2,2,1,6,0.0446108931666547
"205","toy_example_4.RDa",2,2,1,7,0.0490964345605879
"206","toy_example_4.RDa",2,2,1,8,0.0511180842789068
"207","toy_example_4.RDa",2,2,1,9,0.0516032675589743
"208","toy_example_4.RDa",2,2,1,10,0.052480908601071
"209","toy_example_4.RDa",2,2,1,11,0.0451924381687662
"210","toy_example_4.RDa",2,2,2,1,1.98261227959507
"211","toy_example_4.RDa",2,2,2,2,0.0593704489173033
"212","toy_example_4.RDa",2,2,2,3,0.0493788336979837
"213","toy_example_4.RDa",2,2,2,4,0.0537236529636239
"214","toy_example_4.RDa",2,2,2,5,0.053571179647086
"215","toy_example_4.RDa",2,2,2,6,0.056878171763934
"216","toy_example_4.RDa",2,2,2,7,0.0566183279542458
"217","toy_example_4.RDa",2,2,2,8,0.0577783761276985
"218","toy_example_4.RDa",2,2,2,9,0.0509625549898879
"219","toy_example_4.RDa",2,2,2,10,0.0507424015896803
"220","toy_example_4.RDa",2,2,2,11,0.0499570538305506
