"","filename","sti","ai","pi","si","gamma_stat"
"105","toy_example_3.RDa",2,2,1,"5",0.665523541836706
"106","toy_example_3.RDa",2,2,1,"6",1.26659853729053
"107","toy_example_3.RDa",2,2,1,"7",0.921988658888653
"108","toy_example_3.RDa",2,2,1,"8",1.1670048096529
"109","toy_example_3.RDa",2,2,1,"9",1.07669905517529
"110","toy_example_3.RDa",2,2,1,"10",0.768121196047107
"111","toy_example_3.RDa",2,2,2,"1",0.820304081618896
"112","toy_example_3.RDa",2,2,2,"2",0.828342094345324
"113","toy_example_3.RDa",2,2,2,"3",0.646144439276509
"114","toy_example_3.RDa",2,2,2,"4",0.574498794576917
"115","toy_example_3.RDa",2,2,2,"5",1.14855609016393
"116","toy_example_3.RDa",2,2,2,"6",0.635826810893488
"117","toy_example_3.RDa",2,2,2,"7",0.854581605276897
"118","toy_example_3.RDa",2,2,2,"8",0.481614670204051
"119","toy_example_3.RDa",2,2,2,"9",0.931787800825919
"120","toy_example_3.RDa",2,2,2,"10",0.962432034903793
"121","toy_example_4.RDa",1,1,1,"1",-2.14475075924765
"122","toy_example_4.RDa",1,1,1,"2",-1.78926937448229
"123","toy_example_4.RDa",1,1,1,"3",-2.10178624947233
"124","toy_example_4.RDa",1,1,1,"4",-2.1452355824149
"125","toy_example_4.RDa",1,1,1,"5",-1.40430857863342
"126","toy_example_4.RDa",1,1,1,"6",-1.66419913573253
"127","toy_example_4.RDa",1,1,1,"7",-1.49234791098483
"128","toy_example_4.RDa",1,1,1,"8",-1.56228470952618
"129","toy_example_4.RDa",1,1,1,"9",-1.63512862183722
"130","toy_example_4.RDa",1,1,1,"10",-1.47081537651228
"131","toy_example_4.RDa",1,1,2,"1",-1.48474172292519
"132","toy_example_4.RDa",1,1,2,"2",-1.41986672930052
"133","toy_example_4.RDa",1,1,2,"3",-1.11435445690074
"134","toy_example_4.RDa",1,1,2,"4",-1.43227156352035
"135","toy_example_4.RDa",1,1,2,"5",-1.84476504820295
"136","toy_example_4.RDa",1,1,2,"6",-1.35615989034726
"137","toy_example_4.RDa",1,1,2,"7",-1.27127808497865
"138","toy_example_4.RDa",1,1,2,"8",-1.6709145855136
"139","toy_example_4.RDa",1,1,2,"9",-1.5275036200037
"140","toy_example_4.RDa",1,1,2,"10",-1.25904047780574
"141","toy_example_4.RDa",1,2,1,"1",-2.09720984520141
"142","toy_example_4.RDa",1,2,1,"2",-1.62794285324886
"143","toy_example_4.RDa",1,2,1,"3",-1.67293963921042
"144","toy_example_4.RDa",1,2,1,"4",-1.51279228115236
"145","toy_example_4.RDa",1,2,1,"5",-1.61891580918022
"146","toy_example_4.RDa",1,2,1,"6",-1.69933076767001
"147","toy_example_4.RDa",1,2,1,"7",-1.42806288161611
"148","toy_example_4.RDa",1,2,1,"8",-1.98064270571225
"149","toy_example_4.RDa",1,2,1,"9",-1.97440018109197
"150","toy_example_4.RDa",1,2,1,"10",-1.70809786500348
"151","toy_example_4.RDa",1,2,2,"1",-2.00395980803688
"152","toy_example_4.RDa",1,2,2,"2",-2.03573457212186
"153","toy_example_4.RDa",1,2,2,"3",-1.8189198290499
"154","toy_example_4.RDa",1,2,2,"4",-1.93972886906902
"155","toy_example_4.RDa",1,2,2,"5",-1.65081276329014
"156","toy_example_4.RDa",1,2,2,"6",-1.78522346328668
"157","toy_example_4.RDa",1,2,2,"7",-2.25872363330185
"158","toy_example_4.RDa",1,2,2,"8",-1.74086902237941
"159","toy_example_4.RDa",1,2,2,"9",-1.84350577480505
"160","toy_example_4.RDa",1,2,2,"10",-1.93408422066615
"161","toy_example_4.RDa",2,1,1,"1",-1.73928506868688
"162","toy_example_4.RDa",2,1,1,"2",-2.07117215342424
"163","toy_example_4.RDa",2,1,1,"3",-1.55733964319657
"164","toy_example_4.RDa",2,1,1,"4",-1.63391863273829
"165","toy_example_4.RDa",2,1,1,"5",-1.77398204705888
"166","toy_example_4.RDa",2,1,1,"6",-1.54376368997843
"167","toy_example_4.RDa",2,1,1,"7",-1.57318052999827
"168","toy_example_4.RDa",2,1,1,"8",-1.52166147786524
"169","toy_example_4.RDa",2,1,1,"9",-1.79287582735589
"170","toy_example_4.RDa",2,1,1,"10",-1.65740878433463
"171","toy_example_4.RDa",2,1,2,"1",-1.39907916584051
"172","toy_example_4.RDa",2,1,2,"2",-1.6167610618755
"173","toy_example_4.RDa",2,1,2,"3",-1.2633053174468
"174","toy_example_4.RDa",2,1,2,"4",-1.20841416107436
"175","toy_example_4.RDa",2,1,2,"5",-1.50122019365663
"176","toy_example_4.RDa",2,1,2,"6",-1.37047948029297
"177","toy_example_4.RDa",2,1,2,"7",-1.72682209931624
"178","toy_example_4.RDa",2,1,2,"8",-1.68507984292392
"179","toy_example_4.RDa",2,1,2,"9",-1.71948583500917
"180","toy_example_4.RDa",2,1,2,"10",-1.29518497012285
"181","toy_example_4.RDa",2,2,1,"1",-2.00454822751852
"182","toy_example_4.RDa",2,2,1,"2",-1.98480382418544
"183","toy_example_4.RDa",2,2,1,"3",-1.71854499791835
"184","toy_example_4.RDa",2,2,1,"4",-1.45229199423868
"185","toy_example_4.RDa",2,2,1,"5",-1.86002777463628
"186","toy_example_4.RDa",2,2,1,"6",-1.96336016430093
"187","toy_example_4.RDa",2,2,1,"7",-1.61102271622075
"188","toy_example_4.RDa",2,2,1,"8",-1.56144565497552
"189","toy_example_4.RDa",2,2,1,"9",-1.65860193340596
"190","toy_example_4.RDa",2,2,1,"10",-1.97119738404474
"191","toy_example_4.RDa",2,2,2,"1",-1.45436595689619
"192","toy_example_4.RDa",2,2,2,"2",-1.96877946478951
"193","toy_example_4.RDa",2,2,2,"3",-1.80313507812548
"194","toy_example_4.RDa",2,2,2,"4",-1.77543697327735
"195","toy_example_4.RDa",2,2,2,"5",-1.39204929879326
"196","toy_example_4.RDa",2,2,2,"6",-1.67122069810082
"197","toy_example_4.RDa",2,2,2,"7",-1.596742202232
"198","toy_example_4.RDa",2,2,2,"8",-1.91261618571622
"199","toy_example_4.RDa",2,2,2,"9",-2.41313756558287
"200","toy_example_4.RDa",2,2,2,"10",-1.74451974999362
