"","filename","sti","ai","pi","si","gamma_stat"
"1","toy_example_1.RDa",1,1,1,"1",-0.229221966241222
"2","toy_example_1.RDa",1,1,1,"2",1.02855118892185
"3","toy_example_1.RDa",1,1,1,"3",0.529279443257479
"4","toy_example_1.RDa",1,1,1,"4",0.44531369925113
"5","toy_example_1.RDa",1,1,1,"5",0.632499881461907
"6","toy_example_1.RDa",1,1,1,"6",0.795021906983477
"7","toy_example_1.RDa",1,1,1,"7",0.368429928200059
"8","toy_example_1.RDa",1,1,1,"8",0.513277286694967
"9","toy_example_1.RDa",1,1,1,"9",0.681056006317117
"10","toy_example_1.RDa",1,1,1,"10",0.64024499138759
"11","toy_example_1.RDa",2,1,1,"1",-2.20656503647344
"12","toy_example_1.RDa",2,1,1,"2",0.554427939232258
"13","toy_example_1.RDa",2,1,1,"3",0.541895204877911
"14","toy_example_1.RDa",2,1,1,"4",0.990791177383594
"15","toy_example_1.RDa",2,1,1,"5",1.28180239077973
"16","toy_example_1.RDa",2,1,1,"6",1.19404056375479
"17","toy_example_1.RDa",2,1,1,"7",0.714564791476948
"18","toy_example_1.RDa",2,1,1,"8",0.619521513422073
"19","toy_example_1.RDa",2,1,1,"9",0.648081998105676
"20","toy_example_1.RDa",2,1,1,"10",0.984582001384959
"21","toy_example_2.RDa",1,1,1,"1",-0.705564623513694
"22","toy_example_2.RDa",1,1,1,"2",-1.14073576496915
"23","toy_example_2.RDa",1,1,1,"3",-1.05717254007914
"24","toy_example_2.RDa",1,1,1,"4",-1.11024998337746
"25","toy_example_2.RDa",1,1,1,"5",-1.34042454081093
"26","toy_example_2.RDa",1,1,1,"6",-1.29892091211033
"27","toy_example_2.RDa",1,1,1,"7",-1.2332291271447
"28","toy_example_2.RDa",1,1,1,"8",-1.20759566339577
"29","toy_example_2.RDa",1,1,1,"9",-1.24360399903209
"30","toy_example_2.RDa",1,1,1,"10",-1.22285646633403
"31","toy_example_2.RDa",2,1,1,"1",-1.1584257149049
"32","toy_example_2.RDa",2,1,1,"2",-1.25101149713851
"33","toy_example_2.RDa",2,1,1,"3",-1.33896967692654
"34","toy_example_2.RDa",2,1,1,"4",-1.17480162287751
"35","toy_example_2.RDa",2,1,1,"5",-1.01719057205036
"36","toy_example_2.RDa",2,1,1,"6",-1.14403987604052
"37","toy_example_2.RDa",2,1,1,"7",-1.29567856199375
"38","toy_example_2.RDa",2,1,1,"8",-1.30824823506707
"39","toy_example_2.RDa",2,1,1,"9",-0.883713742018269
"40","toy_example_2.RDa",2,1,1,"10",-0.979122157870328
"41","toy_example_3.RDa",1,1,1,"1",1.00586711075589
"42","toy_example_3.RDa",1,1,1,"2",0.38366610232729
"43","toy_example_3.RDa",1,1,1,"3",0.600955183927707
"44","toy_example_3.RDa",1,1,1,"4",0.582811551936724
"45","toy_example_3.RDa",1,1,1,"5",0.612385000601505
"46","toy_example_3.RDa",1,1,1,"6",0.893672194552087
"47","toy_example_3.RDa",1,1,1,"7",0.400466041416642
"48","toy_example_3.RDa",1,1,1,"8",0.479727638060332
"49","toy_example_3.RDa",1,1,1,"9",0.662506676003725
"50","toy_example_3.RDa",1,1,1,"10",0.429757461652037
"51","toy_example_3.RDa",1,1,2,"1",0.587834118047989
"52","toy_example_3.RDa",1,1,2,"2",0.998050349510256
"53","toy_example_3.RDa",1,1,2,"3",0.600215690056771
"54","toy_example_3.RDa",1,1,2,"4",0.354938742513486
"55","toy_example_3.RDa",1,1,2,"5",0.669889000066651
"56","toy_example_3.RDa",1,1,2,"6",0.601285178340391
"57","toy_example_3.RDa",1,1,2,"7",0.694185722252755
"58","toy_example_3.RDa",1,1,2,"8",0.847467942351292
"59","toy_example_3.RDa",1,1,2,"9",0.60756354450683
"60","toy_example_3.RDa",1,1,2,"10",0.890420861429186
"61","toy_example_3.RDa",1,2,1,"1",1.0402336226422
"62","toy_example_3.RDa",1,2,1,"2",1.04144493369243
"63","toy_example_3.RDa",1,2,1,"3",1.07241688776257
"64","toy_example_3.RDa",1,2,1,"4",1.18121739931582
"65","toy_example_3.RDa",1,2,1,"5",1.21615987826091
"66","toy_example_3.RDa",1,2,1,"6",1.03277345923236
"67","toy_example_3.RDa",1,2,1,"7",1.11748637564417
"68","toy_example_3.RDa",1,2,1,"8",0.794033976885388
"69","toy_example_3.RDa",1,2,1,"9",0.895493607144122
"70","toy_example_3.RDa",1,2,1,"10",0.953410121958339
"71","toy_example_3.RDa",1,2,2,"1",0.917080645932812
"72","toy_example_3.RDa",1,2,2,"2",0.69822101454886
"73","toy_example_3.RDa",1,2,2,"3",0.522919368757375
"74","toy_example_3.RDa",1,2,2,"4",0.654550595843595
"75","toy_example_3.RDa",1,2,2,"5",0.491599612176956
"76","toy_example_3.RDa",1,2,2,"6",1.03797769310423
"77","toy_example_3.RDa",1,2,2,"7",0.794015928085395
"78","toy_example_3.RDa",1,2,2,"8",0.910165993753772
"79","toy_example_3.RDa",1,2,2,"9",1.23281508183343
"80","toy_example_3.RDa",1,2,2,"10",0.980163014840842
"81","toy_example_3.RDa",2,1,1,"1",0.625556502772318
"82","toy_example_3.RDa",2,1,1,"2",0.704035314064285
"83","toy_example_3.RDa",2,1,1,"3",0.50030842419775
"84","toy_example_3.RDa",2,1,1,"4",0.675392048311059
"85","toy_example_3.RDa",2,1,1,"5",0.699160705319643
"86","toy_example_3.RDa",2,1,1,"6",0.553523146661822
"87","toy_example_3.RDa",2,1,1,"7",0.969195376887976
"88","toy_example_3.RDa",2,1,1,"8",0.5061748570557
"89","toy_example_3.RDa",2,1,1,"9",0.534797087433249
"90","toy_example_3.RDa",2,1,1,"10",0.543213893879083
"91","toy_example_3.RDa",2,1,2,"1",0.990662897652388
"92","toy_example_3.RDa",2,1,2,"2",0.662014223323228
"93","toy_example_3.RDa",2,1,2,"3",0.695992121760975
"94","toy_example_3.RDa",2,1,2,"4",0.395258580041625
"95","toy_example_3.RDa",2,1,2,"5",0.752410313845385
"96","toy_example_3.RDa",2,1,2,"6",0.382114986634498
"97","toy_example_3.RDa",2,1,2,"7",0.572737076454553
"98","toy_example_3.RDa",2,1,2,"8",0.275690675111151
"99","toy_example_3.RDa",2,1,2,"9",0.648665610428574
"100","toy_example_3.RDa",2,1,2,"10",0.731173019803583
"101","toy_example_3.RDa",2,2,1,"1",0.939597477119779
"102","toy_example_3.RDa",2,2,1,"2",1.10309809502866
"103","toy_example_3.RDa",2,2,1,"3",1.31396932938444
"104","toy_example_3.RDa",2,2,1,"4",1.1530541119481
