"","filename","sti","ai","pi","si","nrbs"
"153","toy_example_4.RDa",1,2,2,3,8.19313215337176
"154","toy_example_4.RDa",1,2,2,4,8.20193824626772
"155","toy_example_4.RDa",1,2,2,5,8.21187365163919
"156","toy_example_4.RDa",1,2,2,6,8.20027767695217
"157","toy_example_4.RDa",1,2,2,7,8.19927670636834
"158","toy_example_4.RDa",1,2,2,8,8.20101939514612
"159","toy_example_4.RDa",1,2,2,9,8.19573223811537
"160","toy_example_4.RDa",1,2,2,10,8.20614223034291
"161","toy_example_4.RDa",2,1,1,1,8.69376627026529
"162","toy_example_4.RDa",2,1,1,2,8.69953932762223
"163","toy_example_4.RDa",2,1,1,3,8.68733467634272
"164","toy_example_4.RDa",2,1,1,4,8.70711145186042
"165","toy_example_4.RDa",2,1,1,5,8.70639266979744
"166","toy_example_4.RDa",2,1,1,6,8.70108606480351
"167","toy_example_4.RDa",2,1,1,7,8.70802148033085
"168","toy_example_4.RDa",2,1,1,8,8.70592659790712
"169","toy_example_4.RDa",2,1,1,9,8.7124555037315
"170","toy_example_4.RDa",2,1,1,10,8.70469182641746
"171","toy_example_4.RDa",2,1,2,1,8.68535976622684
"172","toy_example_4.RDa",2,1,2,2,8.7099061635202
"173","toy_example_4.RDa",2,1,2,3,8.69252779841775
"174","toy_example_4.RDa",2,1,2,4,8.70044492284641
"175","toy_example_4.RDa",2,1,2,5,8.7022189691604
"176","toy_example_4.RDa",2,1,2,6,8.69114010047416
"177","toy_example_4.RDa",2,1,2,7,8.70909748627221
"178","toy_example_4.RDa",2,1,2,8,8.7180956090399
"179","toy_example_4.RDa",2,1,2,9,8.69804532907605
"180","toy_example_4.RDa",2,1,2,10,8.68403459314045
"181","toy_example_4.RDa",2,2,1,1,8.70087642030278
"182","toy_example_4.RDa",2,2,1,2,8.70961449022741
"183","toy_example_4.RDa",2,2,1,3,8.7091789205739
"184","toy_example_4.RDa",2,2,1,4,8.70300997208337
"185","toy_example_4.RDa",2,2,1,5,8.68850096365667
"186","toy_example_4.RDa",2,2,1,6,8.71121840814153
"187","toy_example_4.RDa",2,2,1,7,8.70765522529863
"188","toy_example_4.RDa",2,2,1,8,8.70908832178147
"189","toy_example_4.RDa",2,2,1,9,8.70968534948005
"190","toy_example_4.RDa",2,2,1,10,8.7079595363675
"191","toy_example_4.RDa",2,2,2,1,8.6982553241508
"192","toy_example_4.RDa",2,2,2,2,8.71088122273613
"193","toy_example_4.RDa",2,2,2,3,8.70474878306517
"194","toy_example_4.RDa",2,2,2,4,8.70581837203602
"195","toy_example_4.RDa",2,2,2,5,8.70343800676118
"196","toy_example_4.RDa",2,2,2,6,8.7007055728927
"197","toy_example_4.RDa",2,2,2,7,8.69906360980326
"198","toy_example_4.RDa",2,2,2,8,8.70814324809309
"199","toy_example_4.RDa",2,2,2,9,8.70198575276574
"200","toy_example_4.RDa",2,2,2,10,8.71949495577715
