"","filename","n_alignments_ok","n_alignments_zeroes","n_alignments_na"
"118","article_0_0_2_0_1_217.RDa",4,0,0
"119","article_0_0_2_0_1_218.RDa",4,0,0
"120","article_0_0_2_0_1_219.RDa",4,0,0
"121","article_0_1_0_0_0_220.RDa",4,0,0
"122","article_0_1_0_0_0_221.RDa",4,0,0
"123","article_0_1_0_0_0_222.RDa",4,0,0
"124","article_0_1_0_0_0_223.RDa",4,0,0
"125","article_0_1_0_0_0_224.RDa",4,0,0
"126","article_0_1_0_0_0_225.RDa",4,0,0
"127","article_0_1_0_0_0_226.RDa",4,0,0
"128","article_0_1_0_0_0_227.RDa",3,1,0
"129","article_0_1_0_0_0_228.RDa",4,0,0
"130","article_0_1_0_0_0_229.RDa",4,0,0
"131","article_0_1_0_0_0_230.RDa",4,0,0
"132","article_0_1_0_0_0_231.RDa",4,0,0
"133","article_0_1_0_0_0_232.RDa",4,0,0
"134","article_0_1_0_0_0_233.RDa",4,0,0
"135","article_0_1_0_0_0_234.RDa",4,0,0
"136","article_0_1_0_0_0_235.RDa",3,1,0
"137","article_0_1_0_0_0_236.RDa",4,0,0
"138","article_0_1_0_0_0_237.RDa",4,0,0
"139","article_0_1_0_0_0_238.RDa",4,0,0
"140","article_0_1_0_0_0_239.RDa",4,0,0
"141","article_0_1_0_0_1_240.RDa",4,0,0
"142","article_0_1_0_0_1_241.RDa",4,0,0
"143","article_0_1_0_0_1_242.RDa",0,0,0
"144","article_0_1_0_0_1_243.RDa",4,0,0
"145","article_0_1_0_0_1_244.RDa",4,0,0
"146","article_0_1_0_0_1_245.RDa",4,0,0
"147","article_0_1_0_0_1_246.RDa",4,0,0
"148","article_0_1_0_0_1_247.RDa",4,0,0
"149","article_0_1_0_0_1_248.RDa",4,0,0
"150","article_0_1_0_0_1_249.RDa",4,0,0
"151","article_0_1_0_0_1_250.RDa",4,0,0
"152","article_0_1_0_0_1_251.RDa",4,0,0
"153","article_0_1_0_0_1_252.RDa",4,0,0
"154","article_0_1_0_0_1_253.RDa",4,0,0
"155","article_0_1_0_0_1_254.RDa",4,0,0
"156","article_0_1_0_0_1_255.RDa",4,0,0
"157","article_0_1_0_0_1_256.RDa",4,0,0
"158","article_0_1_0_0_1_257.RDa",4,0,0
"159","article_0_1_0_0_1_258.RDa",4,0,0
"160","article_0_1_0_0_1_259.RDa",4,0,0
"161","article_0_1_1_0_0_260.RDa",4,0,0
"162","article_0_1_1_0_0_261.RDa",4,0,0
"163","article_0_1_1_0_0_262.RDa",4,0,0
